"","ALB","HP","MT.ATP6","APOA2","MT.ATP8","SAA1","MT.CO1","MT.CO2","MT.CO3","SAA2","MT.ND4","ORM1","MT.ND3","SERPINA1","FTL","APOC3","MT.ND2","MT.ND4L","APOC1","MT.CYB","APOA1","MT.ND1","CLPS","C3","FGB","FGA","CRP","RBP4","MT1G","FGG","MT.ND6","APOE","TF","B2M","REG3A","CLU","CYP2E1","TTR","FABP1","ORM2","SERPINA3","APOH","GLUL","MT2A","AMBP","APOC2","MT.ND5","FTH1","PRSS1","MT1B","MT1X","CES1","RPS27","EEF1A1","ALDOB","FGL1","PLA2G2A","HPX","RPS18","CFB","SPINK1","VTN","RPL8","TMSB4X","AHSG","NNMT","AFP","RPS19","SERPINC1","APOA4","EPHX1","TPT1","C4A","GAPDH","C4B","RPL39","RPL10","RPL37A","C1R","RPL13A","HPD","RPS24","A1BG","IL32","RPL30","GC","RPS16","ADH1B","RPS21","SERPING1","SPP1","TMSB10","MT1E","REG1A","IFI27","RPS29","HRG","RPL13","CD74","APCS","Category"
"TCGA-MI-A75I-01A-11R-A32O-07",1668359.93,269512.87,220434.95,1282030.25,190574.09,50709.61,329517.51,336441.4,275175.93,44761.41,176583.6,343510.77,136637.07,265802.39,645473.24,280957.98,180294.02,97965.44,428815.23,150561.19,152662.96,73221.53,0,267651.2,64632.75,95949.32,133825.1,162489.97,186.4,65535,34158.52,524287,123144.13,154794.07,1991,90773.53,14765.09,96616.71,19892.37,75280.1,87075.75,112532.89,13586.57,1119.56,82951.62,134755.94,27938.14,241220.67,0,0,878.17,135693.24,70727.3,58655.36,31870.96,8078.22,1721.16,11424.74,102125.66,102125.66,62431.08,80125.95,83528.61,62431.08,75803.72,9151.82,320.8,50709.61,31215.04,890.44,64632.75,46339.95,47313.67,52135.28,48307.85,35363.15,59474.18,57448.23,11112.3,50011.46,8598.28,41188.81,18950.18,5913.33,76861.91,41475.31,37121.34,23330.64,34158.52,32767,5112.16,21617.82,98.04,2351.53,11112.3,52497.92,20881.4,40062.48,14065.74,28525.2,1
"TCGA-UB-A7MA-01A-11R-A33R-07",472513.8,18052.61,229795.93,329517.51,248002.34,25.54,209994.66,215898.44,263966.36,35,115696.65,26248.46,125731.67,134755.94,67846.12,62431.08,95286.54,64632.75,573724.06,93325.55,36864.92,74243.68,0,220434.95,100719.65,102836.01,231394.29,70727.3,193.01,85876.94,7749.1,513497.31,26800.01,63302.6,3.53,109455.64,26.28,11745.96,20593.91,13033.07,70238.75,46986.85,7032.37,1340.84,76861.91,169390.27,11992.79,111755.56,0,0,728.11,3847.29,386469.83,182810.84,61571.56,29124.6,24.11,23986.58,171754.88,51062.33,83528.61,121448.75,82951.62,62431.08,169.07,4419.52,780.44,191899.64,2956.17,4095,9025.81,88905.42,35118.87,35118.87,32540.65,120609.84,112532.89,198667,18431.96,67846.12,21.32,141455.6,1233.75,27938.14,69271.73,79572.48,208544.12,3372.43,100719.65,25708.25,45701.96,82378.63,607.87,0,4481.23,132900.7,3847.29,112532.89,8718.32,26986.43,1
"TCGA-DD-AAE1-01A-11R-A41C-07",1055868.42,60723.88,443937.41,2263304.65,402881.61,9279.58,978355,757033.75,649962.87,3060.45,561916.97,531605.79,649962.87,561916.97,1393227.06,343510.77,641014.63,482442.34,383800.28,397335,353168.2,373305.21,0,299043.36,55491.3,47642.77,551.56,84109.6,1268.46,30151.71,160252.91,269512.87,159145.95,80683.28,4.21,405683.88,133825.1,133825.1,98646.85,110216.97,52497.92,132900.7,11827.67,10014.87,212926.09,159145.95,111755.56,116501.39,0,11.04,8598.28,28723.62,140478.49,123144.13,30151.71,12764.83,72.52,40621.74,90773.53,40621.74,7180.15,130165.62,100023.92,40341.14,148488.36,336.79,25005.23,87075.75,34158.52,7.63,100023.92,124863.17,65082.31,42937.97,64186.29,95286.54,80683.28,81809.59,9540.5,71714.63,4358.66,100719.65,40621.74,8134.41,111755.56,26800.01,51417.5,6207.38,44145.15,18560.17,191.67,13681.08,5219.6,0,42054.3,92040.7,43537.38,54349.29,16045.82,5831.91,1
"TCGA-DD-AAD1-01A-11R-A41C-07",696613.03,118127.7,391864.76,502929.67,408505.64,13215.02,411347.03,249727.34,311742.51,8658.09,267651.2,179048.63,194578.47,751804.53,180294.02,147462.67,184082.4,260332.24,400098.69,197294.7,353168.2,223512.12,0,138544.47,86474.27,124000.67,49666,47642.77,244.57,81244.48,80683.28,118949.35,51775.15,133825.1,133.36,110216.97,4903.87,10512.82,107203.06,35363.15,249727.34,54349.29,13681.08,5183.54,70727.3,175363.84,59887.86,117311.73,0,0,2224.63,9151.82,82378.63,133825.1,8718.32,18560.17,540.19,37639.55,73221.53,38966.94,30999.42,129266.49,85283.74,69753.56,64632.75,25179.16,190.34,51062.33,26431.04,30.56,18819.27,72715.74,35118.87,26431.04,43236.64,48982.22,69753.56,58655.36,23330.64,61571.56,1350.18,48307.85,45386.27,32540.65,81244.48,39785.74,40621.74,6381.92,35856.82,30361.44,1651,51775.15,896.64,38.4,3742.05,68793.23,70727.3,48982.22,31432.17,802.41,1
"TCGA-DD-A4NG-01A-11R-A27V-07",236256.4,632189.57,3091765.64,619179.28,3454390.1,86474.27,2216726.5,2805836.45,3049200.37,120609.84,2343119.96,311742.51,1442359.14,348306.01,153724.82,126606.21,1727194.55,1374046.07,236256.4,1155430.26,40341.14,1383603.33,0,140478.49,107948.72,102836.01,143430.26,130165.62,476.71,79572.48,343510.77,59474.18,40341.14,190574.09,181.28,61146.25,81809.59,11664.82,44145.15,68793.23,70727.3,80683.28,47642.77,6516.03,58655.36,87681.42,241220.67,114897.47,0,0,1685.71,81809.59,97288.74,58655.36,6983.79,46019.85,599.49,26431.04,84109.6,109455.64,1397.83,39237.98,61146.25,51062.33,22535.88,12502.12,244.57,41188.81,23330.64,1340.84,45701.96,52863.07,59063.35,59063.35,60723.88,47974.16,47313.67,50011.46,44761.41,40062.48,19482.97,81809.59,11345.82,40621.74,69271.73,33688.23,30361.44,23820.89,34635.37,36106.23,4328.55,13681.08,1487.87,12.83,743.43,45701.96,2835.7,45386.27,10585.95,69271.73,1
"TCGA-DD-A1EE-01A-11R-A131-07",88905.42,168220.2,736332.6,294926.33,800198.39,18431.96,509950.32,716197.51,348306.01,8538.88,524287,124000.67,358098.26,496005.67,411347.03,81244.48,386469.83,350728.68,241220.67,368165.8,25005.23,294926.33,395.18,147462.67,68318.04,109455.64,63302.6,78476.96,514.56,83528.61,70727.3,74760.09,20593.91,177811.84,1991,54727.32,73730.83,10808.41,3928.15,26067.14,24153.43,64632.75,214407.12,9808.75,72715.74,86474.27,61999.83,124000.67,733.19,0,4736.79,50359.33,89523.81,62865.33,2935.74,19754.96,41188.81,15607.02,55877.28,34158.52,9876.98,28132.47,55491.3,11827.67,3395.89,17197.56,176.29,25887.07,29124.6,137.14,109455.64,69753.56,60304.42,66912.05,61146.25,43236.64,59474.18,36864.92,29327.18,31650.8,59063.35,27363.16,9088.59,27938.14,47642.77,19214.73,23820.89,19082,18052.61,33922.56,19348.38,6652.97,934.76,366.09,45701.96,30999.42,14561.8,40904.3,13681.08,64186.29,1
"TCGA-DD-A1EI-01A-11R-A131-07",1147449.11,175363.84,363097.14,1212874.47,258533.99,5751.61,294926.33,265802.39,331809.5,1819.35,236256.4,221968.2,179048.63,358098.26,365622.68,143430.26,190574.09,155870.75,437825.58,184082.4,280957.98,217400.14,0,97288.74,65535,85876.94,58250.19,112532.89,3124.78,64632.75,50709.61,273275.14,94628.34,142439.51,5.82,160252.91,13215.02,41188.81,95949.32,55877.28,84109.6,79022.82,7081.29,11909.94,81809.59,156954.93,37639.55,159145.95,0,0,4512.4,17437.64,80683.28,124000.67,23330.64,26431.04,163.28,57448.23,52135.28,61571.56,108699.57,130165.62,85283.74,74243.68,63742.91,15180.22,3372.43,50709.61,19482.97,52.82,15285.81,55107.99,46339.95,52863.07,44761.41,58250.19,62431.08,68318.04,30361.44,67846.12,4181.07,64632.75,35118.87,24660.96,88291.3,39510.91,49666,8134.41,32994.92,21768.19,1167.14,45386.27,5255.91,28.04,3372.43,44761.41,36106.23,39785.74,17317.18,20881.4,1
"TCGA-ZS-A9CG-01A-11R-A37K-07",479109.86,614902.29,627822.72,1085552.95,606436.73,16157.44,593956.43,811368.76,746611.43,4575.41,606436.73,154794.07,479109.86,251464.33,167058.21,348306.01,275175.93,381149.17,531605.79,383800.28,95949.32,168220.2,0,119776.72,195931.88,288856.81,269.6,220434.95,189.02,220434.95,42346.82,200048.85,171754.88,146444.06,7.34,111755.56,35856.82,71219.26,26248.46,61571.56,73221.53,112532.89,305326.92,12676.65,98646.85,89523.81,42937.97,110216.97,0,0,45701.96,124000.67,117311.73,126606.21,18431.96,4268.94,11.55,41188.81,70238.75,38966.94,73.03,55107.99,104271.56,23492.92,43840.21,9025.81,536.45,72213.45,87681.42,241.19,79022.82,80125.95,27938.14,52135.28,28132.47,100719.65,111755.56,90146.51,25887.07,64632.75,52497.92,51417.5,16496.96,15824.9,105727.15,46986.85,51062.33,88905.42,36106.23,46986.85,3639.7,11827.67,1583.71,38.67,3257.52,73221.53,12853.63,75803.72,18431.96,63742.91,1
"TCGA-BC-A10Y-01A-11R-A131-07",696613.03,282912.21,517068.97,138544.47,440870.9,7180.15,360589.03,336441.4,318292.9,2537.92,294926.33,338781.54,290865.98,229795.93,136637.07,440870.9,209994.66,151608.43,181548.07,280957.98,200048.85,117311.73,0,189257.69,269512.87,271387.49,2485.67,262143,4704.07,262143,201440.3,175363.84,184082.4,282912.21,2.92,273275.14,48.18,136637.07,12943.04,117311.73,42054.3,204252.32,4512.4,8718.32,175363.84,103551.29,80683.28,112532.89,0,0,2645.74,21320.18,187950.38,112532.89,54349.29,18560.17,65.26,59063.35,61999.83,69271.73,88.88,160252.91,37639.55,19082,41188.81,3103.19,101.54,33688.23,110216.97,361.04,72213.45,46662.28,47974.16,38966.94,51062.33,65990.84,77396.54,70238.75,28328.16,36357.37,16843.62,30785.28,23330.64,30361.44,73730.83,30572.63,27745.15,4543.8,62865.33,68318.04,343.89,18950.18,6792.79,10.63,57448.23,89523.81,55491.3,55107.99,31432.17,7537.18,1
"TCGA-EP-A3JL-01A-11R-A213-07",462789.59,964885.69,1800541.22,1851161.35,945028.61,606436.73,751804.53,1374046.07,1452391.55,170568.48,839981.65,360589.03,1364554.84,389157.95,875652.15,408505.64,408505.64,161367.56,610654.84,614902.29,118127.7,360589.03,0,381149.17,217400.14,158046.64,202841.44,215898.44,3665.02,152662.96,121448.75,218912.29,89523.81,223512.12,126.12,186652.11,29943.43,62431.08,64632.75,60304.42,125731.67,90146.51,8538.88,11827.67,118949.35,151608.43,54727.32,163620.18,0,13.03,5594.3,65535,168220.2,93974.69,14561.8,159145.95,14663.09,37379.55,57847.82,68793.23,111755.56,96616.71,142439.51,60304.42,15392.14,19754.96,5219.6,94628.34,88905.42,1883.54,72715.74,88905.42,66912.05,82951.62,65990.84,99333,75280.1,72213.45,51417.5,88291.3,36106.23,66912.05,47313.67,97288.74,118127.7,37121.34,56265.94,8658.09,55107.99,35363.15,19348.38,36357.37,1883.54,71.5,4937.99,63742.91,25179.16,90773.53,50709.61,49322.93,1
"TCGA-FV-A3R2-01A-11R-A22L-07",561916.97,269512.87,327241.36,573724.06,313910.86,36610.26,305326.92,234624.45,363097.14,25708.25,142439.51,209994.66,91404.92,284880.02,282912.21,185362.8,124000.67,88291.3,172949.54,131982.68,144427.91,91404.92,0,198667,77934.88,134755.94,93974.69,153724.82,6164.49,89523.81,58250.19,212926.09,162489.97,108699.57,6.46,107948.72,6887.62,70727.3,42641.37,55491.3,74760.09,75280.1,9540.5,6037.61,51062.33,88905.42,34635.37,105727.15,0,0,4419.52,37379.55,42641.37,53601.03,24153.43,17681.08,4328.55,18689.27,48982.22,70727.3,2351.53,68318.04,42054.3,25179.16,45701.96,10512.82,157.68,30785.28,29943.43,141.02,18178.19,31432.17,79022.82,27938.14,85876.94,26248.46,38164.99,40904.3,17317.18,40904.3,23986.58,35856.82,25005.23,20451.65,42641.37,46662.28,28132.47,31650.8,31432.17,36106.23,105.15,13968.57,4736.79,0,18560.17,32092.64,23656.34,26431.04,16496.96,20881.4,1
"TCGA-ED-A82E-01A-11R-A352-07",1331.57,486.75,623486.02,1322.37,499455.67,5954.47,649962.87,428815.23,701458.36,3491.39,373305.21,8901.53,417089.23,8191,38966.94,305.55,251464.33,286861.53,2915.45,324980.94,214.27,296977.71,0,68318.04,209.84,403.5,434801.29,262.2,813.63,708.18,26067.14,4152.18,100.83,150561.19,140.04,175363.84,133.36,242.88,49.21,1369.04,25354.3,353.59,5441.3,2163.77,13123.73,303.44,36357.37,94628.34,0,155.5,1388.16,167.9,108699.57,111755.56,54.33,2451.44,56.28,62.56,84109.6,29531.18,74.06,12244.81,60723.88,47313.67,45.85,11267.44,8,82951.62,42.11,0,13872.08,75803.72,42346.82,57448.23,44145.15,54727.32,82951.62,67377.47,34396.12,76861.91,42.41,69271.73,104.42,21768.19,35609.13,18560.17,52863.07,258.57,48307.85,54349.29,36106.23,44452.21,688.78,1378.57,1832.01,34158.52,180.02,78476.96,38966.94,33688.23,1
"TCGA-G3-A7M5-01A-11R-A33R-07",1503610.06,751804.53,496005.67,894051.48,237899.7,5791.62,531605.79,453265.5,554180.87,764.36,324980.94,58250.19,205673.01,209994.66,294926.33,998912.34,209994.66,52863.07,492579.5,121448.75,746611.43,184082.4,7.75,422911.59,52497.92,83528.61,4419.52,263966.36,563.18,48982.22,62431.08,309589.14,217400.14,139508.13,10.47,120609.84,11584.24,462789.59,70727.3,21768.19,41188.81,198667,2367.9,6840.04,105727.15,130165.62,20737.16,119776.72,12.27,0,20593.91,122293.5,81244.48,69271.73,94628.34,14971.21,18.03,120609.84,44761.41,62865.33,241.19,119776.72,33224.42,16383,43236.64,9673.69,148.09,48307.85,74243.68,279.14,68318.04,40904.3,59474.18,42346.82,57448.23,45701.96,82951.62,79022.82,28723.62,58250.19,41475.31,40062.48,51775.15,45386.27,52863.07,59474.18,47642.77,14163.58,53230.77,64632.75,37.32,10883.59,780.44,15.91,10154.69,63742.91,26800.01,48982.22,8134.41,35609.13,1
"TCGA-CC-A9FV-01A-11R-A37K-07",256.78,28.04,887875.81,96.01,1055868.42,15.34,1238359.56,751804.53,1012856.65,0,663619.99,22.1,589853.66,854.13,331809.5,120.1,394590.4,492579.5,201440.3,408505.64,67.12,535303.41,0,1457.23,11.91,7.22,4.06,1617,46.5,4.17,184082.4,687022.54,69.03,263966.36,0,95286.54,94.01,358.54,37.32,10.39,37.85,21.47,6607.01,3280.18,16.51,136.19,151608.43,204252.32,0,0,928.3,389.72,69753.56,96616.71,21.47,105.15,9.34,14.78,46019.85,567.1,8.85,24.63,37379.55,182810.84,2.39,1286.18,0,54727.32,10.31,0,13306.94,96616.71,4512.4,80683.28,4210.15,32767,57051.4,55491.3,25530.66,52135.28,21.63,40904.3,339.14,5041.77,35363.15,15.56,35363.15,941.27,26614.89,12853.63,133.36,70238.75,974.5,0,2664.15,44761.41,5.11,48982.22,65082.31,6.62,1
"TCGA-BC-A217-01A-11R-A155-07",623486.02,226632.25,290865.98,370726.6,126606.21,3639.7,345900.08,411347.03,248002.34,2032.85,133825.1,279017.26,135693.24,249727.34,130165.62,254974.66,108699.57,26248.46,223512.12,102125.66,21617.82,67377.47,0,397335,89523.81,89523.81,3982.99,265802.39,1191.69,71714.63,60304.42,164758.26,123144.13,121448.75,6.21,75280.1,748.61,40621.74,947.83,64186.29,7433.4,275175.93,2255.7,3467.27,90146.51,63302.6,15607.02,146444.06,0,0,1617,34876.28,212926.09,136637.07,17437.64,17078.76,575.03,30361.44,83528.61,109455.64,5831.91,154794.07,34158.52,49322.93,43840.21,2664.15,540.19,42054.3,38430.46,934.76,32767,131071,73221.53,38966.94,73221.53,84109.6,50359.33,93974.69,53973.86,67846.12,476.71,58655.36,17078.76,23009.42,44145.15,131071,43840.21,37639.55,55107.99,73730.83,3768.09,50359.33,1159.07,78.34,33688.23,95286.54,18304.63,52135.28,30785.28,23986.58,1
"TCGA-FV-A2QQ-01A-11R-A22L-07",585779.24,373305.21,280957.98,1482909.4,148488.36,311742.51,186652.11,220434.95,260332.24,110983.6,144427.91,350728.68,168220.2,561916.97,1055868.42,459592.86,143430.26,40904.3,668235.84,90146.51,151608.43,122293.5,0,391864.76,103551.29,121448.75,28132.47,246289.25,1331.57,87075.75,15075.35,273275.14,74243.68,202841.44,105.15,127486.83,679.29,81244.48,126606.21,84694.64,122293.5,92040.7,8598.28,7803.01,132900.7,265802.39,11827.67,260332.24,0,7.17,3372.43,87681.42,104271.56,106462.55,26067.14,83528.61,178.77,28723.62,59887.86,65990.84,133825.1,98646.85,82951.62,30361.44,35118.87,11035.54,185.11,64186.29,68318.04,10296.45,85283.74,103551.29,54349.29,90146.51,54349.29,68318.04,59063.35,72715.74,39237.98,68318.04,32994.92,44452.21,55107.99,106462.55,88291.3,37639.55,47974.16,19214.73,36106.23,51775.15,44452.21,26431.04,1104.13,46.18,39237.98,61999.83,47313.67,78476.96,60304.42,16611.71,1
"TCGA-RG-A7D4-01A-12R-A33R-07",845824.19,124863.17,425853.18,1422501.74,405683.88,8901.53,397335,485798,485798,1023,375901.76,100023.92,329517.51,267651.2,663619.99,69753.56,299043.36,205673.01,102836.01,292889.12,141455.6,229795.93,0,79022.82,121448.75,127486.83,4181.07,102836.01,1044.52,116501.39,53601.03,161367.56,112532.89,148488.36,866.07,45072.75,20170.07,10368.08,130165.62,46339.95,28723.62,90773.53,65082.31,3212.66,67377.47,42054.3,39510.91,110983.6,0,3.79,1437.15,66912.05,176583.6,237899.7,6294.04,25354.3,346.29,5366.37,176583.6,78476.96,2163.77,48307.85,104271.56,43236.64,65535,1295.13,18560.17,95286.54,18304.63,186.4,26067.14,76330.98,60723.88,76861.91,59063.35,176583.6,110983.6,149521.18,19214.73,82378.63,1199.98,93974.69,15180.22,15824.9,158046.64,29327.18,69753.56,10296.45,95949.32,19082,2720.15,27553.49,318.57,198.47,5791.62,109455.64,2855.44,75280.1,149521.18,34158.52,1
"TCGA-WJ-A86L-01A-12R-A39D-07",419990.32,348306.01,1535204.12,313910.86,2343119.96,202841.44,1751305.3,1393227.06,1255646.43,107948.72,1273174.62,290865.98,1229805.58,148488.36,338781.54,783730.52,1041331.96,1308968.45,402881.61,1012856.65,244588,998912.34,0,363097.14,64186.29,71219.26,38966.94,118127.7,31.22,49666,546551.29,228208.61,100023.92,75803.72,0,50709.61,312,112532.89,14065.74,98646.85,37901.36,75803.72,3564.78,620.67,65990.84,127486.83,456418.21,79572.48,0,0,423.61,64186.29,137587.47,55877.28,59887.86,5517.27,769.69,28723.62,30785.28,45386.27,967.76,81809.59,26800.01,7280.4,33688.23,4575.41,540.19,46986.85,15392.14,58.71,46019.85,25179.16,28923.41,34158.52,29943.43,50011.46,63742.91,27938.14,32994.92,56657.31,10368.08,34876.28,19482.97,39785.74,35856.82,38966.94,40904.3,1806.78,34635.37,30785.28,813.63,12329.98,21.01,7.51,2555.58,51775.15,21320.18,27553.49,10368.08,23169.48,1
"TCGA-DD-AAVR-01A-11R-A41C-07",998912.34,627822.72,822695.06,1442359.14,517068.97,62431.08,772940.66,581732.96,573724.06,14065.74,425853.18,350728.68,619179.28,706337.4,721179.07,397335,417089.23,191899.64,677564.08,324980.94,121448.75,350728.68,0,205673.01,156954.93,177811.84,202841.44,269512.87,281.09,164758.26,144427.91,241220.67,28525.2,338781.54,24490.61,80125.95,52497.92,14663.09,65082.31,111755.56,124000.67,107203.06,6699.25,9876.98,185362.8,168220.2,64632.75,368165.8,0,0,2319.15,169390.27,144427.91,124863.17,48307.85,61146.25,31870.96,43537.38,91404.92,159145.95,1151.06,84694.64,40621.74,73221.53,40621.74,27174.14,1277.29,44452.21,55491.3,199.85,72213.45,117311.73,75803.72,87681.42,76330.98,58655.36,72213.45,76330.98,42641.37,64186.29,18304.63,55491.3,25005.23,54727.32,81809.59,82378.63,32994.92,12160.22,42641.37,53230.77,7280.4,51775.15,1313.23,6887.62,60723.88,87075.75,43840.21,51417.5,54349.29,25887.07,1
"TCGA-DD-A3A4-01A-11R-A22L-07",789181.81,249727.34,958220.73,231394.29,919186.72,2178.83,1131651.83,654483.73,731246.37,4836.35,577714.63,389157.95,757033.75,696613.03,706337.4,220434.95,485798,331809.5,341137.96,614902.29,10368.08,440870.9,0,185362.8,204252.32,175363.84,189257.69,711250.37,47974.16,163620.18,76330.98,153724.82,66449.85,108699.57,0,146444.06,375901.76,2537.92,1059.11,155870.75,5147.73,171754.88,189.02,107203.06,179048.63,228208.61,63742.91,90146.51,0,0,18178.19,46019.85,58250.19,97965.44,58655.36,102125.66,6935.54,79572.48,57051.4,74760.09,67.59,32092.64,28525.2,10084.54,32092.64,31870.96,103.69,53601.03,22072.07,11.04,21172.91,102125.66,30361.44,113315.62,36864.92,51417.5,68793.23,49666,14663.09,41763.8,397335,45386.27,7382.04,9606.86,41475.31,72213.45,36864.92,81244.48,29736.59,65535,134.3,3540.14,25530.66,0,1277.29,50011.46,2591.27,59887.86,3257.52,106462.55,1
"TCGA-DD-AAD3-01A-11R-A41C-07",2343119.96,111755.56,343510.77,863596.77,345900.08,10733.74,565825.41,485798,254974.66,8901.53,275175.93,137587.47,142439.51,636586.81,383800.28,402881.61,125731.67,225066.78,520665.48,98646.85,453265.5,110983.6,0,294926.33,159145.95,180294.02,29943.43,167058.21,156.59,137587.47,27745.15,311742.51,156954.93,174152.51,153.34,169390.27,6935.54,92680.9,34158.52,37379.55,80125.95,141455.6,10225.32,2645.74,92040.7,290865.98,27938.14,124000.67,0,0,1191.69,45072.75,110216.97,109455.64,43236.64,9945.68,327.56,88291.3,93974.69,102836.01,21468.49,156954.93,41188.81,60304.42,67377.47,4802.93,186.4,42346.82,54727.32,1447.15,58250.19,104996.83,109455.64,46986.85,120609.84,45386.27,74760.09,52135.28,22380.2,62865.33,8247.98,37379.55,52863.07,42641.37,47642.77,43840.21,42346.82,9808.75,33688.23,44761.41,356.05,18560.17,432.53,212.78,22850.48,66912.05,58655.36,39237.98,21026.65,21617.82,1
"TCGA-K7-A5RF-01A-11R-A28V-07",2111737.85,731246.37,577714.63,894051.48,365622.68,29124.6,542775.98,550352.86,502929.67,18950.18,358098.26,329517.51,428815.23,636586.81,341137.96,641014.63,186652.11,191899.64,492579.5,248002.34,606436.73,198667,0,363097.14,214407.12,244588,5329.3,301123.38,97288.74,194578.47,152662.96,256748.15,311742.51,309589.14,0,225066.78,82951.62,176583.6,217400.14,134755.94,74243.68,151608.43,6792.79,72213.45,193234.41,131982.68,69753.56,71219.26,0,0,32092.64,102125.66,65082.31,73730.83,77396.54,59063.35,3124.78,124000.67,27553.49,92680.9,1023,127486.83,28132.47,47313.67,96616.71,32315.87,202.66,42054.3,65535,149.12,45701.96,62431.08,53973.86,43840.21,50709.61,35609.13,44145.15,46986.85,80683.28,36357.37,34158.52,35118.87,79022.82,32767,31215.04,90773.53,27363.16,49322.93,24490.61,83528.61,2935.74,24490.61,26614.89,8.25,69753.56,57847.82,50709.61,42346.82,29124.6,36106.23,1
"TCGA-DD-A73E-01A-12R-A32O-07",527933.71,31650.8,296977.71,95286.54,284880.02,384.34,368165.8,425853.18,400098.69,72.52,221968.2,24321.43,195931.88,164758.26,307450.64,132900.7,202841.44,138544.47,201440.3,177811.84,713.11,110216.97,0,84109.6,23492.92,110983.6,18.03,100023.92,7749.1,67846.12,56265.94,79022.82,181548.07,62431.08,2004.85,141455.6,144427.91,8901.53,2591.27,15715.58,902.89,97965.44,207103.59,10440.2,66449.85,12415.75,44452.21,82951.62,6.78,0,13968.57,148488.36,63742.91,73730.83,6561.36,1806.78,43.02,21468.49,92040.7,22850.48,241.19,17804.06,32540.65,14262.1,55491.3,27.25,251.48,44761.41,26986.43,1.62,75803.72,49322.93,48643.87,42346.82,56265.94,40062.48,54727.32,61571.56,6983.79,50011.46,19482.97,33688.23,2935.74,575.03,40062.48,67846.12,35118.87,78476.96,35118.87,18178.19,348.71,5831.91,2287.2,19.25,624.99,62431.08,2004.85,51062.33,3018.3,703.28,1
"TCGA-5C-A9VG-01A-11R-A37K-07",397335,15715.58,475800.4,614902.29,472513.8,432.53,327241.36,492579.5,466008.55,147.06,311742.51,20310.37,350728.68,125731.67,353168.2,98646.85,348306.01,200048.85,116501.39,159145.95,65990.84,90146.51,0,46339.95,198667,151608.43,486.75,68318.04,9808.75,137587.47,26431.04,144427.91,35609.13,43840.21,332.14,15499.21,69271.73,2417.67,10368.08,11189.6,1896.65,76861.91,8363.13,7382.04,50011.46,132900.7,38430.46,44761.41,0,17.9,4607.24,638.15,151608.43,228208.61,25530.66,17681.08,4704.07,21768.19,118127.7,13586.57,1519.15,42937.97,89523.81,23820.89,70238.75,1388.16,102125.66,110983.6,6840.04,82.29,10733.74,93974.69,19618.49,124000.67,21026.65,95949.32,110216.97,88291.3,2645.74,81809.59,120609.84,110983.6,5329.3,1628.26,70238.75,22072.07,63742.91,165.57,65990.84,4972.34,287.01,11992.79,2895.31,92.05,1721.16,86474.27,866.07,119776.72,6337.83,7180.15,1
"TCGA-DD-AAD2-01A-11R-A41C-07",1155430.26,554180.87,506427.83,932018.1,479109.86,144427.91,834179.46,645473.24,659036.03,53230.77,414208.18,329517.51,358098.26,828417.36,419990.32,167058.21,220434.95,296977.71,456418.21,375901.76,211455.3,214407.12,0,309589.14,348306.01,431797.89,133825.1,202841.44,909.17,350728.68,195931.88,190574.09,156954.93,225066.78,0,100023.92,77934.88,33688.23,127486.83,87681.42,163620.18,124863.17,11267.44,12853.63,118127.7,156954.93,104271.56,136637.07,4.39,0,2018.8,40621.74,102836.01,128373.58,44761.41,76330.98,90773.53,58250.19,66449.85,102125.66,218912.29,112532.89,87075.75,55877.28,40062.48,44452.21,563.18,45072.75,52497.92,108.14,34396.12,87075.75,29327.18,95286.54,32092.64,48982.22,56657.31,54727.32,32994.92,55491.3,36864.92,54349.29,35363.15,60723.88,92040.7,74760.09,36864.92,9945.68,34396.12,42641.37,30361.44,40062.48,1508.65,55.89,4869.99,57051.4,36106.23,59474.18,31215.04,22072.07,1
"TCGA-ZP-A9D2-01A-11R-A38B-07",527933.71,51417.5,151608.43,324980.94,179048.63,878.17,244588,158046.64,167058.21,718.08,127486.83,5183.54,82951.62,111755.56,207103.59,11745.96,87681.42,117311.73,68793.23,66912.05,7032.37,100023.92,6.67,139508.13,22380.2,43840.21,4210.15,37379.55,1322.37,31215.04,19348.38,145432.49,20030.74,121448.75,0,111755.56,1388.16,11189.6,3280.18,1963.57,26067.14,21172.91,12853.63,5147.73,21026.65,10084.54,20881.4,112532.89,0,0,4358.66,28723.62,65990.84,70727.3,2591.27,2777.33,1233.75,13776.25,43236.64,5329.3,5711.87,82378.63,25708.25,93325.55,3847.29,4802.93,318.57,29943.43,1594.73,20.41,22380.2,47642.77,30999.42,49666,30151.71,31870.96,37901.36,35363.15,13586.57,28923.41,1199.98,37121.34,1143.1,13492.72,34635.37,30572.63,25354.3,1340.84,25354.3,18950.18,36864.92,93325.55,3103.19,6.41,22225.61,20593.91,4419.52,27938.14,13033.07,3589.58,1
