"","PNLIP","CELA3A","CLPS","MT.CO1","CELA3B","REG1A","MT.ATP8","MT.ATP6","MT.ND4","MT.CO2","MT.CO3","SYCN","TG","MT.ND3","MT.ND4L","MT.CYB","MT.ND2","MT.ND1","MT.ND6","CLU","CELA2A","B2M","FN1","MT.ND5","CPA1","FTH1","S100A6","CTSB","HSPA1B","EEF1A1","TMSB4X","CD74","RPS27","FTL","GNAS","GPX3","HSPA1A","MT1G","NPC2","TMSB10","TPT1","SFTPB","CALCA","TPO","HLA.B","TIMP1","RPL13","RPL37A","RPL41","INS","SLC34A2","HBA2","RPL10","RPL13A","RPS29","ACTB","APOE","RPL31","RPS24","AL590235.1","SPARC","VIM","TFF3","GP2","RPS18","SERPINA1","HBB","RPL12","RPL39","MT1X","RPS11","HLA.A","RPS6","RPL3","RPL26","RPS19","RPL28","ACTG1","RPL27A","GAPDH","DNAJB1","RPS2","RPS4X","RPS23","RPS4Y1","UBC","DPRX","RPS20","CHI3L1","RPL24","RPL34","RPS3A","S100A4","RPL7A","C3","CALR","HSP90B1","RPL8","HLA.C","ANXA1","Y"
"TCGA-EM-A3FM-01A-11R-A21D-07",0,0,0,462789.59,0,0,817012.28,932018.1,696613.03,677564.08,811368.76,0,52497.92,691801.16,373305.21,414208.18,363097.14,215898.44,72715.74,236256.4,0,292889.12,456418.21,72715.74,0,282912.21,253213.41,215898.44,2895.31,236256.4,142439.51,115696.65,117311.73,94628.34,65082.31,51062.33,1674.06,334.46,106462.55,123144.13,151608.43,184082.4,105.89,466.88,61571.56,64632.75,110983.6,102125.66,88905.42,0,48307.85,191.67,84694.64,97288.74,88291.3,69753.56,6699.25,74243.68,85876.94,0,21320.18,37639.55,107.38,0,80683.28,57847.82,83.45,88905.42,67377.47,21026.65,81244.48,63302.6,71714.63,74243.68,67846.12,70238.75,76330.98,102836.01,71219.26,62865.33,896.64,57847.82,51417.5,63742.91,36610.26,22072.07,0,70727.3,48307.85,68793.23,58250.19,50709.61,19082,70238.75,22380.2,11664.82,8479.89,67377.47,25354.3,24490.61,1
"TCGA-EM-A2P2-01A-11R-A206-07",0,0,0,260332.24,0,0,408505.64,360589.03,251464.33,318292.9,226632.25,0,124000.67,292889.12,237899.7,148488.36,131982.68,68318.04,201440.3,53230.77,0,133825.1,11424.74,153724.82,0,97288.74,58655.36,60723.88,1950,318292.9,88291.3,7589.61,129266.49,74243.68,124000.67,61146.25,1508.65,7032.37,59887.86,46019.85,186652.11,26.47,2.66,389.72,48643.87,21320.18,72213.45,88905.42,82378.63,0,146.03,1286.18,70727.3,82378.63,57448.23,50011.46,22225.61,68793.23,76330.98,0,29531.18,84109.6,269.6,3.11,58655.36,1437.15,1259.69,61146.25,57847.82,6652.97,65535,13215.02,81244.48,81244.48,58655.36,57847.82,60723.88,77934.88,88291.3,58655.36,1295.13,29327.18,34635.37,46339.95,26986.43,24153.43,1.58,54349.29,8.38,69271.73,50011.46,62431.08,5594.3,60723.88,55107.99,23492.92,16611.71,33224.42,21919.61,29124.6,1
"TCGA-EM-A2OY-01A-11R-A206-07",0,0,0,4885245.74,31,0,2884719.27,2654482.97,1825675.85,2011721.67,2343119.96,0,419990.32,1273174.62,1108362.75,900270.11,1005860.33,985160.01,569761.05,2119.22,0,85876.94,2018.8,301123.38,0,136637.07,26067.14,307450.64,988.12,195931.88,15715.58,15392.14,88291.3,77396.54,193234.41,24832.5,2468.49,12943.04,46339.95,14361.31,174152.51,29.27,3.82,33688.23,7589.61,1397.83,63742.91,65082.31,92040.7,0,211.31,129.69,100719.65,79572.48,82378.63,35609.13,796.86,44145.15,77396.54,0,14867.79,29736.59,2119.22,0,73730.83,299.25,215.77,33455.53,87681.42,11035.54,76330.98,9409.14,45701.96,47642.77,97288.74,49322.93,47642.77,47974.16,70238.75,73221.53,890.44,40904.3,49666,85876.94,21.32,17197.56,0,50359.33,103.69,35118.87,57847.82,55107.99,1051.79,36864.92,1143.1,23986.58,17558.94,59063.35,3564.78,1081.39,1
"TCGA-E8-A417-01A-21R-A23N-07",0,0,0,985160.01,0,0,1221310.69,1093103.58,627822.72,663619.99,731246.37,0,198667,485798,348306.01,234624.45,447025.24,244588,181548.07,171754.88,0,517068.97,126606.21,84694.64,0,175363.84,110216.97,118949.35,5403.7,294926.33,80683.28,80125.95,187950.38,84109.6,63742.91,37639.55,4328.55,181.28,86474.27,75280.1,145432.49,10296.45,32.82,1639.59,55107.99,23656.34,84109.6,115696.65,122293.5,0,49666,583.07,114103.8,88905.42,100719.65,39785.74,6164.49,100023.92,96616.71,0,11992.79,28132.47,57.89,0,83528.61,30151.71,395.18,86474.27,75803.72,5329.3,85876.94,39237.98,76330.98,77396.54,93974.69,56657.31,54349.29,49666,75803.72,28923.41,1023,54727.32,68793.23,79022.82,7.75,13033.07,0,60723.88,31432.17,65082.31,62865.33,64186.29,22535.88,73730.83,6983.79,13215.02,13968.57,65082.31,33688.23,26986.43,1
"TCGA-BJ-A291-01A-11R-A16R-07",0,31.67,0,606436.73,0,8.32,736332.6,857631.47,589853.66,636586.81,783730.52,0,284880.02,938500.81,327241.36,437825.58,437825.58,391864.76,440870.9,189257.69,0,229795.93,4152.18,144427.91,0,128373.58,67846.12,67846.12,5479.15,221968.2,47313.67,31870.96,114897.47,40062.48,42346.82,37901.36,4512.4,12502.12,20030.74,56657.31,105727.15,65.26,18178.19,1111.82,28723.62,4419.52,73221.53,100023.92,106462.55,0,87.03,8363.13,63742.91,73730.83,60723.88,38164.99,1397.83,84694.64,74760.09,0,43840.21,46019.85,9344.14,0,71219.26,1001.93,7695.57,48982.22,54727.32,20310.37,77396.54,21320.18,57051.4,63742.91,59474.18,42937.97,32767,42937.97,74760.09,73221.53,1096.5,32767,30999.42,51062.33,9.41,35856.82,3.82,50359.33,92.7,50709.61,61999.83,51417.5,2997.45,50709.61,1757.34,22072.07,18431.96,59063.35,23492.92,5872.48,1
"TCGA-BJ-A0ZC-01A-12R-A13Y-07",0,0,0,275175.93,0,23.08,437825.58,466008.55,280957.98,313910.86,365622.68,0,881742.8,284880.02,244588,215898.44,198667,142439.51,155870.75,127486.83,0,221968.2,4066.71,95949.32,0,78476.96,25005.23,64632.75,3372.43,190574.09,22692.63,17681.08,85876.94,31870.96,62431.08,218912.29,3639.7,88905.42,20451.65,21617.82,85283.74,20.41,0,67377.47,14461.21,2335.28,39510.91,53601.03,66912.05,0,45.85,1037.29,50359.33,52135.28,44145.15,25708.25,1295.13,66912.05,39785.74,0,22850.48,27363.16,24490.61,0,48307.85,1096.5,1313.23,33224.42,36610.26,51062.33,52497.92,17197.56,43537.38,57847.82,40904.3,29124.6,25179.16,44761.41,51417.5,38966.94,1167.14,23330.64,18304.63,34396.12,19754.96,20737.16,0,30572.63,20.71,32540.65,42346.82,41188.81,1477.58,35363.15,1417.35,54349.29,46662.28,35363.15,11584.24,2287.2,1
"TCGA-EM-A3FR-01A-11R-A220-07",0,0,0,81809.59,23.25,0,144427.91,164758.26,77396.54,101420.22,151608.43,0,309589.14,170568.48,49322.93,55877.28,79572.48,37379.55,32540.65,131071,0,118127.7,2417.67,17681.08,8.19,82951.62,35609.13,62431.08,1781.89,198667,44761.41,8305.36,197294.7,55877.28,89523.81,134755.94,2520.38,83528.61,38697.77,28923.41,115696.65,406.31,0,44145.15,10225.32,2287.2,84694.64,92680.9,128373.58,0,104.42,1806.78,102836.01,116501.39,72715.74,57847.82,1769.57,114897.47,99333,0,16269.83,46662.28,6935.54,0,77934.88,3639.7,2451.44,59063.35,76861.91,37901.36,92040.7,29943.43,92040.7,96616.71,66912.05,64186.29,51775.15,60723.88,71714.63,27174.14,988.12,49322.93,47642.77,65082.31,0,34635.37,0,64186.29,507.46,74243.68,70727.3,82951.62,1467.37,62865.33,1051.79,24490.61,32315.87,76861.91,4802.93,14065.74,1
"TCGA-EL-A3GX-01A-11R-A206-07",0,0,0,434801.29,0,0,506427.83,479109.86,370726.6,383800.28,450134.56,0,84694.64,422911.59,275175.93,190574.09,228208.61,121448.75,124863.17,205673.01,0,345900.08,303217.87,80125.95,0,229795.93,169390.27,125731.67,4512.4,262143,140478.49,68793.23,140478.49,164758.26,32994.92,51062.33,2701.35,220.32,64632.75,88291.3,126606.21,16157.44,1.97,341.51,48643.87,37379.55,74760.09,83528.61,84694.64,0,46986.85,1277.29,85283.74,71714.63,88291.3,45701.96,25530.66,64186.29,75803.72,0,16045.82,25179.16,49.91,0,69271.73,41188.81,2287.2,67846.12,56657.31,3820.7,61146.25,43840.21,51775.15,61571.56,68318.04,59887.86,50359.33,69271.73,59063.35,34396.12,1340.84,48307.85,56657.31,58655.36,22.1,21768.19,0,52497.92,11345.82,44145.15,51062.33,54727.32,18689.27,57448.23,20170.07,8598.28,9344.14,55491.3,23009.42,29943.43,1
"TCGA-EL-A3GZ-01A-11R-A20F-07",0,0,0,135693.24,0,0,254974.66,200048.85,131982.68,205673.01,149521.18,0,87075.75,151608.43,105727.15,85876.94,79572.48,35363.15,71219.26,472513.8,0,217400.14,99333,45386.27,9.2,90773.53,129266.49,96616.71,4152.18,292889.12,144427.91,44145.15,107948.72,42346.82,41188.81,22850.48,1991,563.18,115696.65,100719.65,151608.43,15715.58,8.38,1088.92,38966.94,62431.08,80683.28,90773.53,80125.95,0,5872.48,1427.22,79022.82,81244.48,66912.05,43537.38,27174.14,69753.56,100719.65,0,37639.55,38697.77,559.28,0,78476.96,42054.3,1617,77934.88,58655.36,3103.19,67377.47,29736.59,75280.1,83528.61,67377.47,57448.23,56265.94,74760.09,62431.08,40904.3,1001.93,38430.46,65535,50359.33,0,19482.97,0,57847.82,3564.78,56657.31,63302.6,60304.42,5076.84,65990.84,19082,12244.81,12764.83,55107.99,31432.17,44761.41,1
"TCGA-EL-A3CZ-01A-11R-A19O-07",0,0,320.8,226632.25,0,0,155870.75,214407.12,155870.75,195931.88,211455.3,0,945028.61,162489.97,153724.82,102125.66,112532.89,53230.77,59474.18,63302.6,0,115696.65,1819.35,59063.35,10.24,80683.28,23820.89,110216.97,1605.83,263966.36,34635.37,12589.08,97288.74,54727.32,102836.01,83528.61,967.76,9088.59,44452.21,22072.07,141455.6,514.56,7.75,45386.27,10296.45,13123.73,45701.96,61146.25,90146.51,0,802.41,1819.35,79572.48,50359.33,47642.77,38164.99,4671.57,65082.31,62431.08,0,26431.04,44145.15,1417.35,0,61571.56,878.17,2976.74,43840.21,59887.86,10659.59,45386.27,8479.89,57051.4,70238.75,51062.33,28328.16,26614.89,54349.29,45072.75,37121.34,555.41,26986.43,39237.98,39237.98,52.08,26614.89,2.29,34876.28,126.12,40904.3,50359.33,52497.92,1350.18,46019.85,1519.15,37639.55,36610.26,42641.37,7911.95,12853.63,1
"TCGA-DJ-A3V3-01A-11R-A22U-07",0,0,0,189257.69,0,0,258533.99,309589.14,179048.63,225066.78,217400.14,0,425853.18,189257.69,77934.88,105727.15,114103.8,64632.75,83528.61,447025.24,0,253213.41,50011.46,30572.63,33.3,118949.35,98646.85,102836.01,3639.7,253213.41,121448.75,63302.6,131982.68,81244.48,62865.33,51417.5,2875.3,4210.15,91404.92,100719.65,156954.93,6337.83,0,2209.26,54727.32,61146.25,109455.64,100023.92,84109.6,0,6935.54,2796.65,100023.92,95949.32,69271.73,59474.18,39510.91,84109.6,87681.42,0,28132.47,77396.54,607.87,0,76861.91,23656.34,1617,73221.53,62431.08,8022.41,80125.95,29327.18,75280.1,86474.27,65535,66449.85,65535,66449.85,74243.68,46986.85,1268.46,46339.95,37639.55,50709.61,0,27745.15,1.58,66912.05,2758.13,62865.33,67846.12,59887.86,9215.48,61571.56,9673.69,23169.48,22692.63,65082.31,36357.37,29943.43,1
"TCGA-KS-A4I7-01A-11R-A250-07",0,0,0,214407.12,0,0,309589.14,320506.81,171754.88,267651.2,241220.67,0,294926.33,218912.29,78476.96,111755.56,122293.5,80125.95,100719.65,284880.02,0,200048.85,108699.57,36610.26,0,104271.56,107203.06,90146.51,4769.75,237899.7,129266.49,46339.95,104271.56,84109.6,48643.87,29943.43,848.22,435.55,142439.51,94628.34,119776.72,18431.96,70.01,403.5,33455.53,96616.71,87075.75,96616.71,78476.96,0,9215.48,5751.61,79022.82,78476.96,72213.45,50709.61,67377.47,60304.42,84694.64,0,29124.6,39510.91,197.09,0,59474.18,59063.35,4358.66,69271.73,53601.03,7485.11,63302.6,25179.16,64186.29,57448.23,55877.28,60723.88,54727.32,66449.85,61146.25,46662.28,1259.69,36610.26,53230.77,48982.22,33.54,17558.94,0,63742.91,6079.61,51417.5,66449.85,52497.92,5366.37,56265.94,22850.48,19754.96,15824.9,49322.93,13872.08,30151.71,1
"TCGA-DJ-A4UW-01A-11R-A250-07",0,0,0,598087.73,0,0,696613.03,602247.76,402881.61,509950.32,554180.87,0,290865.98,383800.28,288856.81,271387.49,294926.33,201440.3,60723.88,279017.26,0,154794.07,118949.35,59063.35,52.82,104996.83,102836.01,75280.1,1457.23,236256.4,110216.97,53230.77,106462.55,64632.75,59474.18,65990.84,1250.98,4450.27,92680.9,100023.92,136637.07,16960.78,4.46,8247.98,22850.48,65990.84,97965.44,88905.42,68318.04,0,6471.02,5041.77,88291.3,86474.27,75280.1,71714.63,58655.36,65082.31,90146.51,0,46986.85,60304.42,9409.14,0,76330.98,28525.2,3665.02,74243.68,64632.75,39785.74,70727.3,22072.07,71714.63,74243.68,55877.28,61146.25,57448.23,56265.94,65990.84,41188.81,1001.93,44452.21,47642.77,61571.56,23.59,37121.34,0,58250.19,2335.28,56265.94,74243.68,54727.32,6935.54,57847.82,20593.91,18178.19,14765.09,60723.88,9876.98,31432.17,1
"TCGA-DJ-A2Q6-01A-11R-A18C-07",0,0,0,280957.98,0,59.13,411347.03,341137.96,195931.88,322736.12,280957.98,0,239554.43,217400.14,158046.64,135693.24,123144.13,85283.74,85283.74,400098.69,0,311742.51,128373.58,58250.19,40.64,104996.83,102125.66,130165.62,4181.07,269512.87,146444.06,48307.85,112532.89,40341.14,41475.31,23009.42,4181.07,358.54,124000.67,71714.63,143430.26,29124.6,1.97,314.17,63742.91,72213.45,55877.28,80683.28,60723.88,0,17558.94,303.44,79572.48,64632.75,66449.85,42937.97,13681.08,59063.35,84694.64,0,44452.21,50709.61,81.14,3.2,69753.56,34396.12,684.02,48307.85,55491.3,20030.74,63302.6,29327.18,55877.28,64632.75,63302.6,37639.55,38430.46,50709.61,60723.88,32767,1896.65,34396.12,51775.15,48307.85,43.32,37901.36,0,49666,5112.16,40904.3,59063.35,53601.03,5517.27,52863.07,16960.78,14065.74,15607.02,41763.8,15607.02,36610.26,1
"TCGA-IM-A41Z-01A-11R-A23N-07",0,0,0,475800.4,0,0,383800.28,358098.26,184082.4,194578.47,254974.66,0,479109.86,64632.75,139508.13,45701.96,182810.84,156954.93,18819.27,19618.49,0,267651.2,5112.16,14262.1,0,279017.26,41763.8,193234.41,1183.45,249727.34,59474.18,55491.3,182810.84,96616.71,168220.2,77396.54,1662.49,5791.62,57448.23,42937.97,197294.7,65.26,125.24,17078.76,44761.41,4903.87,95949.32,131071,140478.49,0,1709.26,6294.04,103551.29,100023.92,111755.56,45701.96,11189.6,97965.44,91404.92,0,16045.82,28132.47,105.89,0,86474.27,1135.2,5366.37,82951.62,104271.56,10733.74,90146.51,28923.41,80683.28,66449.85,96616.71,60304.42,63302.6,72715.74,71219.26,55877.28,612.11,59063.35,48307.85,72213.45,10.63,22380.2,0,66449.85,432.53,63302.6,64186.29,61571.56,3257.52,65082.31,6935.54,21026.65,20310.37,68793.23,14361.31,11345.82,1
"TCGA-E3-A3E2-01A-11R-A20F-07",0,0,0,215898.44,0,0,214407.12,275175.93,151608.43,225066.78,200048.85,0,370726.6,194578.47,81809.59,80683.28,127486.83,66449.85,47642.77,405683.88,0,294926.33,65990.84,23986.58,4.28,95949.32,122293.5,84109.6,3257.52,271387.49,140478.49,99333,131982.68,52497.92,48307.85,19214.73,1857.6,454.09,107948.72,124000.67,171754.88,9876.98,0.43,1733.13,65990.84,98646.85,99333,107948.72,73221.53,0,10733.74,1143.1,93974.69,94628.34,76861.91,61999.83,59474.18,75803.72,113315.62,0,23330.64,47313.67,507.46,0,100719.65,27745.15,854.13,100023.92,73221.53,12589.08,88905.42,44452.21,91404.92,92040.7,67377.47,65535,65082.31,51775.15,81244.48,45701.96,981.29,59474.18,69753.56,65082.31,12.45,30572.63,0,73730.83,2816.11,65990.84,83528.61,67846.12,13215.02,71219.26,46019.85,21768.19,15499.21,68793.23,28723.62,31215.04,1
"TCGA-EL-A3ZP-01A-11R-A23N-07",0,0,0,309589.14,0,0,851707.37,561916.97,370726.6,343510.77,341137.96,0,400098.69,331809.5,221968.2,212926.09,226632.25,117311.73,194578.47,301123.38,0,282912.21,95286.54,86474.27,2.34,95949.32,159145.95,57051.4,4869.99,182810.84,150561.19,135693.24,101420.22,61146.25,55107.99,46339.95,6426.31,854.13,57051.4,147462.67,125731.67,65082.31,6.94,7032.37,55107.99,53601.03,92040.7,78476.96,60723.88,0,7803.01,3928.15,79022.82,84694.64,54349.29,70727.3,23009.42,60304.42,80683.28,0,43537.38,57448.23,536.45,0,70238.75,25179.16,2119.22,55491.3,48307.85,7911.95,77934.88,40062.48,64632.75,63742.91,51417.5,68793.23,61146.25,58250.19,62431.08,65990.84,1417.35,53973.86,30999.42,53973.86,25354.3,25887.07,3.66,57448.23,5831.91,61146.25,55877.28,36610.26,31650.8,57847.82,20881.4,29531.18,21468.49,57847.82,21768.19,31215.04,1
"TCGA-FK-A3SE-01A-11R-A22L-07",0,0,0,59887.86,0,0,110983.6,121448.75,55107.99,90773.53,109455.64,0,205673.01,109455.64,31650.8,43236.64,37639.55,19348.38,25179.16,318292.9,0,118127.7,62431.08,11345.82,0,97288.74,148488.36,108699.57,10084.54,329517.51,80683.28,21768.19,190574.09,50359.33,29943.43,77396.54,9279.58,884.29,32315.87,90146.51,130165.62,12853.63,2.14,5479.15,11189.6,22692.63,65535,93325.55,110983.6,0,14765.09,1059.11,97288.74,89523.81,80125.95,35856.82,4481.23,93325.55,102125.66,0,27553.49,72213.45,1617,0,74760.09,13872.08,3467.27,59474.18,72213.45,3716.2,77396.54,11909.94,79022.82,84109.6,85283.74,55877.28,38164.99,69753.56,73221.53,33688.23,2915.45,50709.61,57051.4,67377.47,0,57051.4,0,59063.35,884.29,74243.68,64186.29,76330.98,8840.04,69271.73,4639.29,16843.62,25530.66,59063.35,8901.53,38164.99,1
"TCGA-DJ-A2PQ-01A-11R-A18C-07",0,0,0,139508.13,0,0,134755.94,221968.2,118127.7,169390.27,186652.11,0,513497.31,152662.96,81809.59,90773.53,68793.23,52135.28,28723.62,558035.51,0,131982.68,50359.33,22535.88,0,115696.65,109455.64,141455.6,8247.98,288856.81,76861.91,24490.61,91404.92,41475.31,38966.94,20737.16,3820.7,123.5,137587.47,61999.83,114897.47,19618.49,3,802.41,18304.63,47974.16,64632.75,78476.96,76330.98,0,22850.48,1540.37,72715.74,66449.85,55107.99,32994.92,72213.45,65082.31,81809.59,0,32315.87,48307.85,202.66,0,59063.35,21768.19,1286.18,52863.07,51775.15,15392.14,54727.32,16157.44,59063.35,71714.63,56265.94,32540.65,36610.26,46019.85,45701.96,31432.17,1175.27,31432.17,45386.27,46339.95,24660.96,28923.41,0,49666,2956.17,46339.95,54349.29,56657.31,11189.6,48982.22,11745.96,21172.91,21172.91,48643.87,11745.96,40062.48,1
"TCGA-DJ-A1QL-01A-11R-A14Y-07",0,0,0,336441.4,0,0,353168.2,381149.17,244588,299043.36,358098.26,0,375901.76,253213.41,110983.6,153724.82,158046.64,128373.58,62865.33,57847.82,0,75803.72,4836.35,29531.18,189.02,82951.62,34158.52,55107.99,2224.63,182810.84,38697.77,13306.94,95949.32,50011.46,77934.88,189257.69,2502.97,30151.71,18689.27,36864.92,75280.1,88.88,7.28,28328.16,20310.37,4095,70727.3,67846.12,93325.55,0,373.81,12415.75,80125.95,77934.88,49322.93,35118.87,22072.07,55491.3,63742.91,0,43537.38,52863.07,13586.57,0,55491.3,1628.26,23820.89,40904.3,45386.27,25354.3,65082.31,15392.14,50011.46,57448.23,44452.21,48643.87,46986.85,45072.75,52497.92,55877.28,1015.93,26248.46,23820.89,40904.3,26800.01,29124.6,0,46662.28,11.21,40062.48,40621.74,41475.31,2224.63,44761.41,314.17,51417.5,39510.91,42641.37,8421.31,3280.18,1
"TCGA-DJ-A2PY-01A-11R-A18C-07",0,0,0,204252.32,0,0,350728.68,554180.87,303217.87,316094.29,502929.67,0,107948.72,419990.32,282912.21,258533.99,292889.12,154794.07,38430.46,277089.94,0,301123.38,267651.2,48643.87,4.43,202841.44,131071,123144.13,2835.7,305326.92,118949.35,55491.3,121448.75,63742.91,36864.92,30572.63,4239.45,1008.9,93974.69,90146.51,164758.26,55107.99,34.02,366.09,40341.14,40904.3,68318.04,79572.48,87075.75,0,47642.77,113.56,80683.28,72213.45,66912.05,60304.42,8191,77396.54,89523.81,0,49322.93,36610.26,105.89,0,76861.91,33455.53,271.48,70238.75,75803.72,14867.79,68318.04,23656.34,71714.63,74760.09,68318.04,46019.85,38966.94,55877.28,58250.19,28132.47,1427.22,46662.28,66912.05,64186.29,0,25530.66,0,61999.83,18052.61,48982.22,47642.77,65082.31,8901.53,59063.35,11909.94,9876.98,10959.3,49322.93,11504.21,35856.82,1
"TCGA-DJ-A2PS-01A-11R-A18C-07",0,0,0,139508.13,0,0,144427.91,187950.38,118949.35,153724.82,177811.84,0,360589.03,160252.91,107203.06,81244.48,83528.61,51775.15,40062.48,280957.98,0,242898.5,79022.82,31870.96,0,110216.97,79572.48,117311.73,4769.75,316094.29,122293.5,38164.99,123144.13,52497.92,47642.77,32767,3564.78,3690.52,98646.85,60304.42,138544.47,11745.96,1963.57,5006.93,32315.87,38164.99,65082.31,76861.91,84694.64,0,8078.22,2287.2,81809.59,72213.45,62865.33,35118.87,33224.42,75280.1,86474.27,0,25887.07,61999.83,6037.61,0,65990.84,32092.64,4210.15,55107.99,59063.35,11584.24,61999.83,23820.89,61999.83,71714.63,60304.42,40621.74,40621.74,48982.22,49322.93,32540.65,1551.09,30361.44,57847.82,50359.33,0,24660.96,0,51062.33,6607.01,47642.77,59474.18,65082.31,5791.62,52135.28,13776.25,18689.27,21468.49,51775.15,18052.61,41763.8,1
"TCGA-DJ-A3UQ-01A-11R-A22L-07",0,0,0,419990.32,0,0,663619.99,654483.73,397335,373305.21,632189.57,0,100023.92,279017.26,226632.25,220434.95,215898.44,149521.18,15499.21,320506.81,0,303217.87,292889.12,27745.15,0,171754.88,164758.26,177811.84,2434.5,277089.94,138544.47,68793.23,154794.07,73730.83,41763.8,30785.28,2434.5,2090.03,82378.63,105727.15,119776.72,36357.37,15.56,2609.3,42054.3,38164.99,74243.68,97288.74,90773.53,0,39237.98,660.68,98646.85,83528.61,85876.94,59063.35,5954.47,78476.96,83528.61,0,85283.74,40062.48,1369.04,0,73730.83,47642.77,941.27,80125.95,60723.88,16045.82,69753.56,30361.44,60723.88,69753.56,74760.09,54727.32,59474.18,74760.09,65990.84,39785.74,928.3,45701.96,56265.94,68318.04,0,21026.65,0,56265.94,17197.56,49322.93,55491.3,52863.07,8658.09,64186.29,11664.82,10808.41,9673.69,59887.86,23330.64,27745.15,1
"TCGA-DJ-A13P-01A-11R-A10U-07",0,0,0,185362.8,0,1733.13,180294.02,226632.25,135693.24,234624.45,191899.64,0,517068.97,97965.44,100023.92,77396.54,87075.75,54727.32,21172.91,271387.49,10.71,154794.07,40341.14,22072.07,37.05,122293.5,79572.48,133825.1,3303,299043.36,87681.42,25179.16,104271.56,56265.94,45386.27,31432.17,1119.56,45.53,138544.47,72715.74,74760.09,2178.83,1.83,896.64,18819.27,65535,64632.75,85283.74,79572.48,0,14867.79,1498.22,88291.3,65082.31,59474.18,37639.55,34396.12,70727.3,80683.28,0,40341.14,55877.28,159.9,0,61999.83,21768.19,1769.57,56657.31,54349.29,3190.46,56657.31,17558.94,63302.6,77396.54,60723.88,32092.64,44145.15,44452.21,48643.87,28525.2,825,34158.52,56657.31,50359.33,7.51,23169.48,0,45072.75,7537.18,43236.64,56657.31,49666,5594.3,53230.77,6607.01,30785.28,22072.07,51417.5,8479.89,37121.34,1
"TCGA-EL-A4JV-01A-11R-A250-07",0,0,0,282912.21,0,0,437825.58,353168.2,234624.45,236256.4,258533.99,0,900270.11,193234.41,170568.48,130165.62,132900.7,97965.44,80683.28,45701.96,0,104271.56,3349.13,64186.29,0,97965.44,32767,151608.43,2271.4,229795.93,41475.31,12764.83,80125.95,114103.8,135693.24,53230.77,2319.15,32767,47642.77,23492.92,130165.62,142.01,0,14971.21,15285.81,8778.97,80683.28,77396.54,93974.69,0,271.48,236.21,84109.6,69271.73,75280.1,39237.98,8363.13,59474.18,67377.47,0,33688.23,35363.15,3146.52,0,67377.47,620.67,514.56,46662.28,55491.3,21320.18,57847.82,13215.02,61146.25,64632.75,54349.29,54727.32,45072.75,57051.4,51775.15,49322.93,718.08,40904.3,39237.98,47642.77,0,21768.19,2.16,45701.96,144.01,59474.18,52863.07,45386.27,1467.37,54349.29,1529.73,45072.75,40062.48,53230.77,11745.96,11745.96,1
"TCGA-ET-A25K-01A-11R-A16R-07",0,0,0,214407.12,0,0,394590.4,360589.03,214407.12,288856.81,215898.44,0,381149.17,215898.44,154794.07,148488.36,154794.07,103551.29,103551.29,205673.01,0,127486.83,98646.85,62865.33,6.73,88291.3,112532.89,66449.85,2875.3,284880.02,124863.17,16960.78,107948.72,43840.21,40904.3,27363.16,1561.89,759.08,65990.84,74243.68,104996.83,2816.11,18.56,1167.14,16960.78,29943.43,46986.85,75803.72,70727.3,0,21320.18,14663.09,78476.96,74243.68,55877.28,57448.23,28525.2,64632.75,75280.1,0,43236.64,52497.92,201.25,0,52497.92,21919.61,13776.25,60723.88,48307.85,4358.66,57847.82,14765.09,53230.77,68318.04,55491.3,48643.87,47313.67,75280.1,56265.94,34635.37,1806.78,42937.97,47313.67,41475.31,11.04,45386.27,0,42054.3,423.61,40062.48,46339.95,44761.41,21172.91,53230.77,8479.89,21320.18,19082,53973.86,8134.41,44145.15,1
"TCGA-EM-A4FF-01A-11R-A250-07",0,0,0,834179.46,0,0,1545882.32,1308968.45,964885.69,659036.03,887875.81,0,201440.3,360589.03,453265.5,466008.55,383800.28,263966.36,88905.42,193234.41,0,405683.88,110983.6,59887.86,0,151608.43,124863.17,134755.94,4038.61,249727.34,90146.51,102125.66,114897.47,67377.47,71219.26,16157.44,3540.14,693.58,80683.28,74243.68,125731.67,20310.37,0.47,366.09,65082.31,38164.99,81809.59,76861.91,107948.72,0,42346.82,693.58,88291.3,77934.88,80683.28,45701.96,12502.12,63742.91,75803.72,0,27938.14,46019.85,102.25,0,60723.88,38430.46,454.09,56657.31,54349.29,7180.15,64632.75,43537.38,64186.29,67377.47,61999.83,58655.36,63302.6,47313.67,60304.42,38697.77,1059.11,48643.87,50011.46,51417.5,7.82,17681.08,0,52497.92,15075.35,52135.28,55877.28,48982.22,12415.75,62431.08,17317.18,14065.74,12502.12,60304.42,27174.14,35118.87,1
